level	max_image	tail_draw	class_floors	squad_chance	squad_size	squad_leashed
1	6000	2	Melee=2	0	2	1
2	9000	4	Melee=2	0	2	1
3	6000	4	Melee=2	0	2	1
4	9000	4	RangedTurret=1	0	2	1
5	9000	2	Melee=1	0	2	1
6	9000	2	Sneak=1	0	2	1
7	9000	2	Melee=1	0	2	1
8	12000	3	RangedKite=1	0	2	1
9	16000	3	RangedKite=1	0	2	1
10	16000	3	RangedKite=2	0	2	1
11	16000	3	RangedKite=2	0	2	1
12	16000	3	RangedKite=2,Melee=2	0	2	1
13	18000	1	Melee=2	0	2	1
14	18000	2	Melee=1	0	2	1
15	18000	3	Melee=2,RangedTurret=1	0	2	1
